Run,Block,Trial,Fixation,Condition,corr_ans,corr_ans_Left,Correct_Answer_Side,top_image,left_image,right_image
A,3,77,0,Happy,2,8,R,stimuli/happy/M_nim/happy_nim_m_36.jpg,stimuli/happy/M_nim/happy_nim_m_27.jpg,stimuli/happy/M_nim/happy_nim_m_36.jpg
A,3,78,0,Happy,1,9,L,stimuli/happy/F_nim/happy_nim_f_03.jpg,stimuli/happy/F_nim/happy_nim_f_03.jpg,stimuli/happy/F_nim/happy_nim_f_18.jpg
A,3,79,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_22.jpg,stimuli/neutral/M_nim/neutral_nim_m_22.jpg,stimuli/neutral/M_nim/neutral_nim_m_38.jpg
A,3,80,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_05.jpg,stimuli/neutral/F_nim/neutral_nim_f_10.jpg,stimuli/neutral/F_nim/neutral_nim_f_05.jpg
A,3,81,0,Neutral,2,8,R,stimuli/neutral/M_nim/neutral_nim_m_28.jpg,stimuli/neutral/M_nim/neutral_nim_m_26.jpg,stimuli/neutral/M_nim/neutral_nim_m_28.jpg
A,3,82,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_03.jpg,stimuli/neutral/F_nim/neutral_nim_f_15.jpg,stimuli/neutral/F_nim/neutral_nim_f_03.jpg
A,3,83,0,Neutral,1,9,L,stimuli/neutral/F_nim/neutral_nim_f_02.jpg,stimuli/neutral/F_nim/neutral_nim_f_02.jpg,stimuli/neutral/F_nim/neutral_nim_f_11.jpg
A,3,84,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_37.jpg,stimuli/neutral/M_nim/neutral_nim_m_37.jpg,stimuli/neutral/M_nim/neutral_nim_m_27.jpg
A,3,85,0,Object,2,8,R,stimuli/objects/object_69.jpg,stimuli/objects/object_54.jpg,stimuli/objects/object_69.jpg
A,3,86,0,Object,2,8,R,stimuli/objects/object_64.jpg,stimuli/objects/object_42.jpg,stimuli/objects/object_64.jpg
A,3,87,0,Object,1,9,L,stimuli/objects/object_60.jpg,stimuli/objects/object_60.jpg,stimuli/objects/object_37.jpg
A,3,88,0,Object,1,9,L,stimuli/objects/object_53.jpg,stimuli/objects/object_53.jpg,stimuli/objects/object_45.jpg
A,3,89,0,Object,2,8,R,stimuli/objects/object_44.jpg,stimuli/objects/object_50.jpg,stimuli/objects/object_44.jpg
A,3,90,0,Object,1,9,L,stimuli/objects/object_38.jpg,stimuli/objects/object_38.jpg,stimuli/objects/object_41.jpg
